influencer_id,name,bio,category,follower_count,profile_photo_url,content_thumbnail_url
INF001,"Emma Rodriguez","Fitness enthusiast 💪 | Personal trainer | Healthy lifestyle advocate | Curly hair, don't care! 🌿","fitness",125000,"https://images.unsplash.com/photo-1594736797933-d0200b5d2c84?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?ixlib=rb-4.0.3&auto=format&fit=crop&w=600&q=80"
INF002,"Aisha Patel","Beauty guru ✨ | Makeup artist | Skincare tips | Natural beauty advocate | Dark hair & glowing skin","beauty",89000,"https://images.unsplash.com/photo-1616683693504-3ea7e9ad6fec?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80","https://images.unsplash.com/photo-1596462502278-27bfdc403348?ixlib=rb-4.0.3&auto=format&fit=crop&w=600&q=80"
INF003,"Jake Thompson","Tech reviewer 📱 | Gaming content | Blonde hair | Millennial tech enthusiast | Gadget unboxings","tech",234000,"https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80","https://images.unsplash.com/photo-1468495244123-6c6c332eeece?ixlib=rb-4.0.3&auto=format&fit=crop&w=600&q=80"
INF004,"Sofia Andersson","Lifestyle blogger | Minimalist aesthetic | Scandinavian design lover | Blonde hair | Clean beauty","lifestyle",156000,"https://images.unsplash.com/photo-1494790108755-2616c44150fe?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80","https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?ixlib=rb-4.0.3&auto=format&fit=crop&w=600&q=80"
INF005,"Marcus Chen","Food blogger 🍜 | Asian cuisine specialist | Restaurant reviews | Cooking tutorials | Dark hair","food",67000,"https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?ixlib=rb-4.0.3&auto=format&fit=crop&w=600&q=80"
INF006,"Isabella Martinez","Fashion influencer 👗 | Sustainable fashion | Curly brown hair | Latina creator | Size-inclusive style","fashion",198000,"https://images.unsplash.com/photo-1629467057571-42d22d8f0cbd?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80","https://images.unsplash.com/photo-1445205170230-053b83016050?ixlib=rb-4.0.3&auto=format&fit=crop&w=600&q=80"
INF007,"David Kim","Fitness coach | Bodybuilding | Protein recipes | Korean-American | Muscle building content","fitness",145000,"https://images.unsplash.com/photo-1566492031773-4f4e44671d66?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80","https://images.unsplash.com/photo-1583454110551-21f2fa2afe61?ixlib=rb-4.0.3&auto=format&fit=crop&w=600&q=80"
INF008,"Zara Johnson","Travel blogger ✈️ | Adventure seeker | Nature photography | Curly red hair | Solo female travel","travel",178000,"https://images.unsplash.com/photo-1438761681033-6461ffad8d80?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80","https://images.unsplash.com/photo-1469474968028-56623f02e42e?ixlib=rb-4.0.3&auto=format&fit=crop&w=600&q=80"
INF009,"Ahmed Hassan","Fashion & lifestyle | Male style | Beard grooming | Middle Eastern culture | Men's fashion","fashion",92000,"https://images.unsplash.com/photo-1506794778202-cad84cf45f44?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80","https://images.unsplash.com/photo-1441986300917-64674bd600d8?ixlib=rb-4.0.3&auto=format&fit=crop&w=600&q=80"
INF010,"Luna Garcia","Beauty & wellness | Natural skincare | Yoga instructor | Long straight black hair | Mindfulness","beauty",134000,"https://images.unsplash.com/photo-1544005313-94ddf0286df2?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?ixlib=rb-4.0.3&auto=format&fit=crop&w=600&q=80"
