influencer_id,name,bio,category,follower_count,profile_photo_url,content_thumbnail_url
EXL_CURLSANDFITNESS,curlsandfitness,"Fitness creator, curly hair fitness content",fitness,100000,https://www.instagram.com/curlsandfitness/,https://www.instagram.com/curlsandfitness/
EXL_SOHEEFIT,soheefit,Korean-American fitness coach & author,fitness,100000,https://www.instagram.com/soheefit/,https://www.instagram.com/soheefit/
EXL_LINNYGD,linnygd,"Makeup, dark hair, glowing skin influencer",beauty,100000,https://www.instagram.com/linnygd/,https://www.instagram.com/linnygd/
EXL_THATCURLYTOP,thatcurlytop,Curly hair care + sustainable beauty/fashion,beauty,100000,https://www.instagram.com/thatcurlytop/,https://www.instagram.com/thatcurlytop/
EXL_FREDDIEHARREL,freddieharrel,Natural hair & black beauty advocate,beauty,100000,https://www.instagram.com/freddieharrel/,https://www.instagram.com/freddieharrel/
EXL_BENTAYLORTECH,bentaylortech,"Tech reviewer, gadgets & smart home",tech,100000,https://www.instagram.com/bentaylortech/,https://www.instagram.com/bentaylortech/
EXL_TIFFINTECH,tiffintech,Tech career mentor & entrepreneur,tech,100000,https://www.instagram.com/tiffintech/,https://www.instagram.com/tiffintech/
EXL_CHRISTIEATHOME,christieathome,Asian cuisine recipes & tutorials,food,100000,https://www.instagram.com/christieathome/,https://www.instagram.com/christieathome/
EXL_NOM_LIFE,nom_life,Latin-American food & culture storytelling,food,100000,https://www.instagram.com/nom_life/,https://www.instagram.com/nom_life/
EXL_SCANDINAVIANSTYLIST,scandinavianstylist,Scandinavian minimalist lifestyle & decor,lifestyle,100000,https://www.instagram.com/scandinavianstylist/,https://www.instagram.com/scandinavianstylist/
EXL_THEREDHAIRTRAVELER,theredhairtraveler,Travel & adventure with curly red hair,lifestyle,100000,https://www.instagram.com/theredhairtraveler/,https://www.instagram.com/theredhairtraveler/
EXL_JONATHANKMONROE,jonathankmonroe,Male grooming & curly hair stylist,lifestyle,100000,https://www.instagram.com/jonathankmonroe/,https://www.instagram.com/jonathankmonroe/
EXL_KACIEROSE_,kacierose_,"Irish lifestyle, travel & content creator",lifestyle,100000,https://www.instagram.com/kacierose_/,https://www.instagram.com/kacierose_/
EXL_CASSYEUNGMONEY,cassyeungmoney,Entrepreneurial finance & lifestyle creator,lifestyle,100000,https://www.instagram.com/cassyeungmoney/,https://www.instagram.com/cassyeungmoney/
EXL_PEWDIEPIE,pewdiepie,"World-famous gamer & content creator, Swedish YouTuber",gaming,100000,https://www.instagram.com/pewdiepie/,https://www.instagram.com/pewdiepie/
